"route","method","auth_required","status_code","working","notes"
"/","GET","public_or_guest","200","working","GET probe"
"/admin","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/activity-dashboard","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/add-medicine","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/ai-insights","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/ai-metrics","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/alerts","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/bulk-upload","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/commerce","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/complete","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/compliance","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/dashboard","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/delivery-status","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/error-metrics","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/fulfillment","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/funnel-metrics","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/growth-dashboard","GET","doctor_admin","200","working","GET probe"
"/admin/growth-metrics","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/inactive-patients","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/inventory","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/master-medicines","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/medicine-subscriptions","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/order-health","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/order/{order_id}/fix","POST","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/orders","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/pharmacies","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/pharmacy/register","POST","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/pricing-preview","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/profit-metrics","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/restock-status","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/revenue-metrics","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/send-checkin/{patient_id}","POST","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/subscription-recommendations","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/supplier/{supplier_id}","DELETE","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/supplier/{supplier_id}","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/supplier/{supplier_id}","PUT","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/supplier/{supplier_id}/order","POST","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/supplier/register","POST","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/suppliers","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/traffic-snapshot","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/trigger-payment-reminders","POST","doctor_admin","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/admin/user-validation-insights","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/admin/users","GET","doctor_admin","ERROR","broken","Operation is not valid due to the current state of the object."
"/ai-analyzer","GET","doctor","ERROR","broken","Operation is not valid due to the current state of the object."
"/ai/order-automation","GET","public_or_guest","200","working","GET probe"
"/ai/status","GET","public_or_guest","200","working","GET probe"
"/ai/support","GET","public_or_guest","200","working","GET probe"
"/analyze","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/activity/feed","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/chart-data","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/export-full-report","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/medicines","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/medicines/{medicine_id}","DELETE","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/medicines/{medicine_id}","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/medicines/{medicine_id}/adjust-stock","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/medicines/{medicine_id}/adjustments","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/medicines/add","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/medicines/bulk","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/medicines/bulk-upload","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/medicines/export","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/medicines/low-stock","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/metrics","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/order-health","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/orders/export","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/orders/recent","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/predictions","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/reports/schedule-weekly","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/saas-stats","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/seed-demo-data","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/admin/stats","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/admin/users/recent","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/ai-dashboard/insights/{doctor_id}","GET","public_or_guest","401","working","GET probe"
"/api/ai-dashboard/patient-recommendation/{patient_id}","GET","public_or_guest","401","working","GET probe"
"/api/ai-pharmacy/daily-insights/{pharmacy_id}","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/ai-pharmacy/demand-forecast/{pharmacy_id}","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/ai-pharmacy/optimize-price","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai-pharmacy/order-priorities/{pharmacy_id}","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/ai/analyze","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/analyze-symptom-image","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/chat/{user_id}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/churn-prediction","GET","public_or_guest","200","working","GET probe"
"/api/ai/delivery/optimize","GET","public_or_guest","200","working","GET probe"
"/api/ai/diet-plan/{patient_id}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/diet-plan/{patient_id}/save","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/feed/{user_id}","GET","public_or_guest","200","working","GET probe"
"/api/ai/forecast-demand/{product_id}","GET","public_or_guest","200","working","GET probe"
"/api/ai/forecast-revenue","GET","public_or_guest","200","working","GET probe"
"/api/ai/health-insights/{user_id}","GET","public_or_guest","200","working","GET probe"
"/api/ai/medicine-alternatives/{medicine_id}","GET","public_or_guest","404","working","GET probe"
"/api/ai/medicine-info","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/medicine-info/pure","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/medicine-suggest","GET","public_or_guest","200","working","GET probe"
"/api/ai/medicine/alternatives","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/order/fraud-check","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/order/process/{order_id}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/predict-next/{user_id}","GET","public_or_guest","200","working","GET probe"
"/api/ai/prescription-feedback","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/prescription/{case_id}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/prescription/enhance","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/rebuild-knowledge","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/rebuild-status","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/ai/refill/remind/{user_id}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/scan-prescription","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/status","GET","public_or_guest","200","working","GET probe"
"/api/ai/stream","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/support/respond","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/support/route-ticket","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ai/voice-command","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ambient-emr/process-segment","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ambient-emr/save","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ambient-emr/session/{session_id}/finalize","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ambient-emr/session/start","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/analytics/outcomes","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/appointments/{appointment_id}/status","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/appointments/book","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/appointments/doctor/{doctor_id}/today","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/articles/search","GET","public_or_guest","200","working","GET probe"
"/api/audit/log","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/audit/logs","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/auth/account-type","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/auth/forgot-password","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/auth/register","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/auth/reset-password","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/auth/send-otp","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/auth/session","GET","public_or_guest","200","working","GET probe"
"/api/auth/verify-otp","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ayurveda/prakriti/assess","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/ayurveda/srotas/examine","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/cart","GET","public_or_guest","200","working","GET probe"
"/api/cart/add","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/cases/{case_id}/generate-ai","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/cases/{case_id}/generate-diet","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/checkout","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/consultations/{consultation_id}","GET","public_or_guest","405","working","GET probe"
"/api/consultations/{consultation_id}","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/consultations/{system_type}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/consultations/patient/{patient_id}","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/contact/submit","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/delivery/assign/{order_id}","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/delivery/find-pharmacy","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/delivery/optimize-batch","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/delivery/predict-time/{order_id}","GET","public_or_guest","200","working","GET probe"
"/api/delivery/track/{order_id}","GET","public_or_guest","200","working","GET probe"
"/api/doctor/e-prescription/generate","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/icd11/search","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/interactions/check","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/lab-analyzer/analyze","POST","patient","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/lab/appointments/today","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/lab/register","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/lab/reports/upload","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/lab/tests/manage","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/labs/book","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/labs/interpret","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/labs/order","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/labs/patient/{patient_id}","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/labs/report/{test_id}","GET","public_or_guest","422","working","GET probe"
"/api/labs/result/{test_id}","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/labs/tests","GET","public_or_guest","200","working","GET probe"
"/api/loyalty/points","GET","public_or_guest","200","working","GET probe"
"/api/loyalty/redeem","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/loyalty/rewards","GET","public_or_guest","200","working","GET probe"
"/api/marketing/personalized-offers","GET","public_or_guest","200","working","GET probe"
"/api/marketing/send-reminder","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/marketplace/dynamic-price","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/marketplace/nearby-shops","GET","public_or_guest","200","working","GET probe"
"/api/marketplace/route-order","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/medicine/info/{medicine_name}","GET","public_or_guest","200","working","GET probe"
"/api/medicines/alternatives","GET","public_or_guest","404","working","GET probe"
"/api/medicines/best-deals","GET","public_or_guest","200","working","GET probe"
"/api/medicines/compare","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/medicines/recognize-image","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/medicines/search","GET","public_or_guest","200","working","GET probe"
"/api/medicines/upload-image","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/offers/available","GET","public_or_guest","200","working","GET probe"
"/api/offers/best","GET","public_or_guest","200","working","GET probe"
"/api/orders/{order_id}/cancel","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/orders/{order_id}/location","GET","public_or_guest","200","working","GET probe"
"/api/orders/{order_id}/notify","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/orders/{order_id}/reschedule","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/orders/{order_id}/status","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/orders/{order_id}/track","GET","public_or_guest","200","working","GET probe"
"/api/orders/check/{order_id}","GET","public_or_guest","200","working","GET probe"
"/api/patient/request-medicine","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/patients/{patient_id}","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/patients/{patient_id}","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/patients/{patient_id}/timeline","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/patients/register","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/patients/search","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/pharmacy/analytics","GET","public_or_guest","422","working","GET probe"
"/api/pharmacy/auto-reorder","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/categories","GET","public_or_guest","200","working","GET probe"
"/api/pharmacy/expiry-alerts","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/pharmacy/inventory","GET","public_or_guest","ERROR","broken","Operation is not valid due to the current state of the object."
"/api/pharmacy/inventory/{inventory_id}","DELETE","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/inventory/{inventory_id}/clearance","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/inventory/{inventory_id}/mark-sold","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/inventory/{inventory_id}/return-to-supplier","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/inventory/{inventory_id}/stock","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/inventory/bulk","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/medicines/add","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/medicines/barcode/{barcode}","GET","public_or_guest","200","working","GET probe"
"/api/pharmacy/medicines/bulk-upload","POST","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
"/api/pharmacy/orders/{order_id}/accept","PUT","mixed_or_csrf","NOT_RUN","not_exercised","Mutation endpoint not automatically executed in full audit."
